STT,Tên công ty,Mã cổ phiếu,Tên ngành
1,CTCP Bất động sản Thế Kỷ,CRE,BĐS
2,Ngân hàng TMCP Công Thương Việt Nam,CTG,Ngân hàng
3,CTCP Chứng khoán Thành phố Hồ Chí Minh,HCM,Chứng khoán
4,Ngân hàng TMCP Quân Đội,MBB,Ngân hàng
5,Ngân hàng TMCP Kỹ thương Việt Nam,TCB,Ngân hàng
6,Ngân hàng TMCP Ngoại thương Việt Nam,VCB,Ngân hàng
7,Ngân hàng TMCP Quốc tế Việt Nam,VIB,Ngân hàng
