STT,Mã cp,Tên chính thức,Ngành,Từ khóa 
70,PPC,CTCP Nhiệt điện Phả Lại,Điện,"PPC, Nhiệt điện Phả Lại"
71,PTB,CTCP Phú Tài,Gỗ,"PTB, Phú Tài"
72,PVD,Tổng CTCP Khoan và Dịch vụ Khoan Dầu khí,Dầu khí,"PVD, Khoan và Dịch vụ Khoan Dầu khí"
73,PVT,Tổng CTCP Vận tải Dầu khí,Dầu khí,"PVT, Vận tải Dầu khí"
74,REE,CTCP Cơ điện lạnh,Điện,"REE, Cơ điện lạnh"
75,SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,Thực phẩm và đồ uống,"SAB, Sabeco, Bia - Rượu - Nước giải khát Sài Gòn"
76,SBT,CTCP Thành Thành Công - Biên Hòa,Thực phẩm và đồ uống,"SBT, Thành Thành Công - Biên Hòa"
77,SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,Hàng không,"SCS, Dịch vụ Hàng hóa Sài Gòn"
78,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,"SHB, Sài Gòn - Hà Nội"
79,SIP,CTCP Đầu tư Sài Gòn VRG,BĐS Khu công nghiệp,"SIP, Đầu tư Sài Gòn VRG"
80,SJS,CTCP SJ Group,BĐS,"SJS, SJ Group"
81,SSB,Ngân hàng TMCP Đông Nam Á,Ngân hàng,"SSB, Ngân hàng Đông Nam Á"
82,SSI,CTCP Chứng khoán SSI,Chứng khoán,"SSI, Chứng khoán SSI"
83,STB,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng,"STB, Sacombank, Sài Gòn Thương Tín"
84,SZC,CTCP Sonadezi Châu Đức,BĐS Khu công nghiệp,"SZC, Sonadezi Châu Đức"
85,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng,"TCB, Techcombank, Kỹ thương Việt Nam"
86,TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,BĐS,"TCH, Tài chính Hoàng Huy, Đầu tư Dịch vụ Tài chính Hoàng Huy"
87,TLG,CTCP Tập đoàn Thiên Long,Tiêu dùng khác,"TLG, Thiên Long"
88,TPB,Ngân hàng TMCP Tiên Phong,Ngân hàng,"TPB, Tiên Phong Bank, Ngân hàng Tiên Phong"
89,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng,"VCB, Vietcombank, Ngoại thương Việt Nam"
