STT,Ngành 
1,Ngân hàng
2,Chứng khoán
3,Bảo hiểm
4,BĐS
5,BĐS Khu công nghiệp 
6,Thép
7,Đầu tư công xây dựng
8,Bán lẻ
9,Nước
10,Điện 
11,Dầu khí
12,Cao su 
13,Công nghệ
14,Viễn Thông 
15,Phân bón
16,Hóa chất
17,Dệt may 
18,Thủy sản
19,Vận tải biển
20,Cảng
21,Thực phẩm và đồ uống
22,Y tế
23,Dược 
24,Du lịch giải trí
25,Nông nghiệp 
26,Vật liệu xây dựng
27,Xe và linh kiện 
28,Tiêu dùng khác 
29,Gỗ
30,Khoáng sản
31,Hàng không
32,Nhựa
