STT,Tên công ty,Mã cổ phiếu,Tên ngành
1,Ngân hàng TMCP Ngoại thương Việt Nam,VCB,Ngân hàng
2,CTCP Chứng khoán Thành phố Hồ Chí Minh,HCM,Chứng khoán
3,CTCP Bất động sản Thế Kỷ,CRE,BĐS
